Country/Region,Olum_Orani,Iyilesme_Orani,Aktif_Oran
Yemen,28.733031674208142,50.7918552036199,20.475113122171944
France,15.494318443207433,42.150352956811986,42.355328599980574
UK,15.06260263391901,0.0,0.0
Italy,14.119757307266337,80.78642397393301,5.093818718800661
Belgium,13.855083054610867,24.819415947609542,61.32550099777959
Hungary,13.051990428540353,75.33173809005874,11.616271481400913
Mexico,10.918109317253451,66.75052410901468,22.331366573731874
Netherlands,10.798146783194692,0.0,0.0
Sint Maarten,10.0,40.0,50.0
Western Sahara,10.0,80.0,10.0
Chad,8.067940552016985,88.95966029723992,2.9723991507431
Spain,8.038811948213127,0.0,0.0
Channel Islands,7.872696817420436,89.27973199329983,2.8475711892797317
Montserrat,7.6923076923076925,76.92307692307693,15.384615384615385
Canada,7.562351869501775,86.96451615624025,5.473131974257977
Isle of Man,7.142857142857142,92.85714285714286,0.0
Sweden,7.034538289799554,0.0,0.0
Ireland,6.704080084938571,88.59396329440315,4.701956620658274
Ecuador,6.4912687630471515,78.7722146746634,14.73651656228945
Sudan,6.4770797962648565,52.58064516129032,40.94227504244482
Liberia,6.372549019607843,57.59803921568627,36.029411764705884
San Marino,6.008583690987124,93.99141630901288,0.0
Niger,5.9843885516045106,91.67389418907199,2.3417172593235036
Bermuda,5.7324840764331215,91.71974522292994,2.547770700636943
Saint Martin,5.660377358490567,77.35849056603774,16.9811320754717
Slovenia,5.623031938821413,85.87494376968061,8.502024291497975
Iran,5.615446852244648,86.67549677149292,7.709056376262429
Andorra,5.508474576271186,87.71186440677965,6.779661016949152
Switzerland,5.497396698792512,87.51523208153318,6.98737121967431
Martinique,5.434782608695652,35.507246376811594,59.05797101449275
Barbados,5.263157894736842,75.18796992481202,19.548872180451127
Egypt,5.211249815801107,51.46832831610635,43.32042186809254
Guadeloupe,5.017921146953405,64.15770609318996,30.824372759856633
Mali,4.858934169278997,76.56739811912226,18.573667711598745
Syria,4.804804804804805,31.131131131131127,64.06406406406407
Burkina Faso,4.66321243523316,82.98791018998273,12.348877374784111
Indonesia,4.649145705792695,63.69944338248297,31.651410911724337
North Macedonia,4.535485568909554,65.61979120975523,29.844723221335208
Peru,4.484759853230832,68.14467873933103,27.37056140743815
Romania,4.4321616719924,50.07686328698506,45.490975041022544
Finland,4.394583112055231,92.6712692511949,2.9341476367498673
Angola,4.315576534052596,35.06405933917735,60.62036412677006
Denmark,4.312875716482595,89.38207745002097,6.3050468334964345
Germany,4.299056735281818,91.16676734352492,4.534175921193253
Tanzania,4.12573673870334,35.952848722986246,59.921414538310415
Greece,4.0991606480577785,26.820222525863752,69.08061682607847
Guyana,4.089219330855019,35.130111524163574,60.78066914498142
Bolivia,4.00934936301679,31.673281418141002,64.3173692188422
Guatemala,3.8995932939509377,77.42137323101271,18.67903347503635
Trinidad and Tobago,3.8095238095238098,64.28571428571429,31.9047619047619
Algeria,3.78576101825968,69.10723844644025,27.107000535300063
Kyrgyzstan,3.7429835225949977,77.85767867766886,18.399337799736156
Lithuania,3.7309995393827724,76.27821280515892,19.990787655458313
Fiji,3.7037037037037033,66.66666666666666,29.629629629629626
Iraq,3.6706186923465363,71.85124072743825,24.478140580215214
Poland,3.582752701201656,71.98222760779561,24.435019691002726
Sierra Leone,3.569525839104955,76.02557272242942,20.404901438465636
Afghanistan,3.5179965307892456,70.03469210754554,26.44731136166522
Brazil,3.3810421166713853,70.18394124957756,26.435016633751058
Portugal,3.3479956205220796,72.68396688500029,23.96803749447763
Bulgaria,3.342554172429691,56.662056247118485,39.99538958045182
Colombia,3.3376198596628557,53.774006877079195,42.88837326325795
Austria,3.313974926253687,90.320796460177,6.365228613569321
Antigua and Barbuda,3.260869565217391,82.6086956521739,14.130434782608695
USA,3.2352585231964124,51.203822439543586,45.56091903726
Curaçao,3.225806451612903,90.32258064516128,6.451612903225806
Monaco,3.2,84.0,12.8
Cuba,3.171171171171171,86.8108108108108,10.018018018018019
Honduras,3.155350569870061,13.561577010066966,83.28307242006298
Nicaragua,3.1522296258329066,74.65402357765248,22.193746796514606
Albania,3.125,52.44348404255319,44.43151595744681
Moldova,3.1095087877422265,70.13669821240799,26.753792999849786
Tunisia,3.1059683313032886,75.57856272838002,21.315468940316688
Lesotho,3.0997304582210243,23.58490566037736,73.31536388140162
Malawi,3.050545535515475,47.58405700289468,49.36539746158984
Estonia,2.9661016949152543,91.99623352165726,5.037664783427495
Mauritius,2.9069767441860463,97.09302325581395,0.0
Somalia,2.8819336845367216,53.54818717074682,43.56987914471645
Croatia,2.868245743893412,86.75055514433753,10.38119911176906
Bosnia and Herzegovina,2.866527321588534,52.567930725589726,44.56554195282173
Uruguay,2.8072837632776935,81.86646433990894,15.326251896813353
Zambia,2.7777777777777777,80.76493579006141,16.457286432160803
Norway,2.703844528939586,93.54668356569498,3.7494719053654415
Chile,2.69696812674032,92.77199451279212,4.5310373604675585
El Salvador,2.6822126947610583,48.290285475269265,49.02750182996968
Latvia,2.5098039215686274,83.92156862745098,13.568627450980392
Turkey,2.443681116051672,92.95344867553158,4.602870208416749
Mauritania,2.436374922408442,82.10738671632527,15.456238361266294
Japan,2.427655395972837,68.3269053309041,29.245439273123065
Ukraine,2.3682428913654827,55.36402458077284,42.26773252786168
Belize,2.3255813953488373,36.04651162790697,61.627906976744185
DRC,2.309592867117843,86.45396927704371,11.236437855838435
Serbia,2.2720620518074055,51.393970437582325,46.33396751061027
Haiti,2.2667020148462353,64.050901378579,33.68239660657476
Cameroon,2.2067953493622303,86.46574105429507,11.327463596342701
Panama,2.203926181074799,63.930661737937214,33.86541208098799
Czechia,2.199537533134059,69.48282668772207,28.317635779143874
Libya,2.193072350891576,13.363394138143061,84.44353351096537
Togo,2.1739130434782608,68.87351778656127,28.952569169960473
Pakistan,2.1411111071690856,90.84484306205496,7.014045830775944
Brunei ,2.127659574468085,97.87234042553192,0.0
S. Korea,2.086920586817274,93.27777395137406,4.635305461808664
Senegal,2.0811945870275315,66.27158189454036,31.647223518432106
India,2.0557823135969078,68.005227586132,29.938990100271106
Nigeria,2.055521174078331,71.67801255415083,26.266466271770845
Benin,1.962809917355372,82.64462809917356,15.392561983471072
Armenia,1.938772947587835,79.24859991461362,18.812627137798536
Zimbabwe,1.9359299377736807,29.131136206499193,68.93293385572713
South Sudan,1.9183673469387756,47.95918367346938,50.12244897959184
Argentina,1.8628804312101492,43.75731282455794,54.37980674423191
Eswatini,1.853099730458221,49.73045822102426,48.416442048517524
Papua New Guinea,1.8404907975460123,32.515337423312886,65.6441717791411
Bahamas,1.8396846254927726,11.957950065703022,86.2023653088042
Diamond Princess,1.8258426966292134,91.43258426966293,6.741573033707865
Philippines,1.7997656119203083,55.94927172275238,42.25096266532731
South Africa,1.784519792487328,71.96720824104767,26.248271966465005
Comoros,1.7676767676767675,85.85858585858585,12.373737373737374
Ethiopia,1.7464114832535886,43.19138755980861,55.0622009569378
Thailand,1.7417417417417418,94.53453453453453,3.7237237237237237
Montenegro,1.7241379310344827,62.58620689655172,35.689655172413794
Equatorial Guinea,1.7216345156606514,45.2603194358017,53.01804604853765
Gambia,1.7112299465240641,14.545454545454545,83.74331550802138
Sao Tome and Principe,1.7084282460136675,90.7744874715262,7.517084282460136
Luxembourg,1.6824544040718223,81.29506574296622,17.02247985296197
Myanmar,1.680672268907563,86.27450980392157,12.044817927170868
Russia,1.675203637139377,77.5733059293905,20.751490433470124
